marca,modelo,ano_vehic,antiguedad,rango_antiguedad,km,combustible,puertas,cv,transmision,ubicacion,particular,precio,segmento_precio,precio_por_cv,stats_visto,stats_favorito,stats_contactado,engagement_score,fuente
OPEL,CROSSLAND X,2019.0,2,Casi nuevo (0-3a),14.86,Gasolina,5.0,130.0,manual,Cantabria,Profesional,13.99,Medio (10-20K),107.62,1056,0,0,528.0,Milanuncios
OPEL,ASTRA 1. 2T SHL 81KW 110CV GS LINE,2019.0,2,Casi nuevo (0-3a),10.587,Gasolina,5.0,110.0,manual,Cantabria,Profesional,13.99,Medio (10-20K),127.18,1238,0,0,619.0,Milanuncios
OPEL,CROSSLAND X,2020.0,1,Casi nuevo (0-3a),10.0,Gasolina,5.0,110.0,manual,Cantabria,Profesional,15.49,Medio (10-20K),140.82,1183,0,0,592.0,Milanuncios
OPEL,ASTRA 1. 2T SHL 81KW 110CV GS LINE,2019.0,2,Casi nuevo (0-3a),4.578,Gasolina,5.0,110.0,manual,Cantabria,Profesional,13.99,Medio (10-20K),127.18,1301,0,0,650.0,Milanuncios
CITROEN,C3 AIRCROSS,2018.0,3,Casi nuevo (0-3a),22.276,Diesel,5.0,120.0,manual,Barcelona,Profesional,15.45,Medio (10-20K),128.75,3975,0,1,2088.0,Milanuncios
OPEL,ASTRA 1. 4T SHT 107KW 145CV ELEGANCE CVT,2019.0,2,Casi nuevo (0-3a),15.0,Gasolina,5.0,145.0,automat,Cantabria,Profesional,16.99,Medio (10-20K),117.17,1266,1,0,663.0,Milanuncios
OPEL,CROSSLAND X,2019.0,2,Casi nuevo (0-3a),6.664,Gasolina,5.0,130.0,manual,Cantabria,Profesional,13.49,Medio (10-20K),103.77,926,0,0,463.0,Milanuncios
OPEL,ASTRA 1. 5D DVH 90KW 122CV GS LINE,2019.0,2,Casi nuevo (0-3a),7.582,Diesel,5.0,122.0,manual,Cantabria,Profesional,14.99,Medio (10-20K),122.87,1251,0,0,626.0,Milanuncios
OPEL,ASTRA 1. 2T SHL 81KW 110CV GS LINE,2019.0,2,Casi nuevo (0-3a),8.578,Gasolina,5.0,110.0,manual,Cantabria,Profesional,13.99,Medio (10-20K),127.18,1364,0,1,782.0,Milanuncios
OPEL,GRANDLAND X PHEV,2019.0,2,Casi nuevo (0-3a),5.0,Híbrido,5.0,200.0,automat,Cantabria,Profesional,33.99,Premium (20-35K),169.95,1078,0,0,539.0,Milanuncios
OPEL,ASTRA 1. 5D DVC 77KW 105CV GS LINE,2019.0,2,Casi nuevo (0-3a),7.936,Diesel,5.0,105.0,manual,Cantabria,Profesional,13.99,Medio (10-20K),133.24,1329,0,0,664.0,Milanuncios
OPEL,INSIGNIA GS BUSINESS ELEGANCE 1. 5D DVH 90KW AT8,2020.0,1,Casi nuevo (0-3a),10.0,Diesel,5.0,122.0,automat,Cantabria,Profesional,23.99,Premium (20-35K),196.64,741,0,0,370.0,Milanuncios
